as_of_date,symbol,sector,current_rank,current_decile,current_score,first_top_decile_date,current_top_decile_streak,current_streak_start_date,entry_reason,prior_1d_date,prior_1d_rank,prior_1d_decile,prior_1d_score,prior_1d_rank_improvement,prior_5d_date,prior_5d_rank,prior_5d_decile,prior_5d_score,prior_5d_rank_improvement,prior_10d_date,prior_10d_rank,prior_10d_decile,prior_10d_score,prior_10d_rank_improvement
2026-05-12,CIEN,Information Technology,1,10,0.27589869499206543,2024-05-15,111,2025-12-02,Existing top-decile constituent,2026-05-11,1,10,0.27589869499206543,0,2026-05-05,1,10,0.27589869499206543,0,2026-04-28,1,10,0.27589869499206543,0
2026-05-12,SATS,Communication Services,2,10,0.2753138542175293,2024-05-15,106,2025-12-09,Existing top-decile constituent,2026-05-11,2,10,0.2753138542175293,0,2026-05-05,3,10,0.26703134179115295,1,2026-04-28,3,10,0.26703134179115295,1
2026-05-12,SNDK,Information Technology,3,10,0.2671626806259155,2026-02-17,60,2026-02-17,Existing top-decile constituent,2026-05-11,4,10,0.2615608870983124,1,2026-05-05,4,10,0.2615608870983124,1,2026-04-28,4,10,0.2615608870983124,1
2026-05-12,LITE,Information Technology,4,10,0.2671626806259155,2024-06-20,159,2025-09-24,Existing top-decile constituent,2026-05-11,3,10,0.2671626806259155,-1,2026-05-05,2,10,0.2671626806259155,-2,2026-04-28,2,10,0.2671626806259155,-2
2026-05-12,WDC,Information Technology,5,10,0.2615608870983124,2024-10-01,134,2025-10-29,Existing top-decile constituent,2026-05-11,5,10,0.2528149485588074,0,2026-05-05,5,10,0.2528149485588074,0,2026-04-28,5,10,0.2528149485588074,0
2026-05-12,STX,Information Technology,6,10,0.2528149485588074,2025-10-29,134,2025-10-29,Existing top-decile constituent,2026-05-11,6,10,0.2528149485588074,0,2026-05-05,6,10,0.2528149485588074,0,2026-04-28,6,10,0.2528149485588074,0
2026-05-12,MU,Information Technology,7,10,0.2528149485588074,2024-05-15,154,2025-10-01,Existing top-decile constituent,2026-05-11,7,10,0.2528149485588074,0,2026-05-05,7,10,0.2528149485588074,0,2026-04-28,7,10,0.2528149485588074,0
2026-05-12,COHR,Information Technology,8,10,0.22602921724319458,2024-06-03,187,2025-08-14,Existing top-decile constituent,2026-05-11,8,10,0.22602921724319458,0,2026-05-05,12,10,0.13856078684329987,4,2026-04-28,9,10,0.24036704003810883,1
2026-05-12,INTC,Information Technology,9,10,0.2161521166563034,2024-05-31,13,2026-04-24,Existing top-decile constituent,2026-05-11,9,10,0.2038101702928543,0,2026-05-05,9,10,0.2099967896938324,0,2026-04-28,47,10,0.05053364858031273,38
2026-05-12,TER,Information Technology,10,10,0.14269796013832092,2024-07-26,50,2026-03-03,Existing top-decile constituent,2026-05-11,10,10,0.13856078684329987,0,2026-05-05,8,10,0.24596881866455078,-2,2026-04-28,8,10,0.24036704003810883,-2
2026-05-12,GLW,Information Technology,11,10,0.13856078684329987,2026-01-28,53,2026-02-26,Existing top-decile constituent,2026-05-11,11,10,0.13856078684329987,0,2026-05-05,11,10,0.13856078684329987,0,2026-04-28,16,10,0.13172762095928192,5
2026-05-12,CHTR,Communication Services,12,10,0.1375855803489685,2024-07-29,13,2026-04-24,Existing top-decile constituent,2026-05-11,12,10,0.1375855803489685,0,2026-05-05,13,10,0.1375855803489685,1,2026-04-28,20,10,0.12408199161291122,8
2026-05-12,FICO,Information Technology,13,10,0.1375855803489685,2025-07-08,23,2026-04-10,Existing top-decile constituent,2026-05-11,13,10,0.1375855803489685,0,2026-05-05,15,10,0.13258406519889832,2,2026-04-28,11,10,0.1375855803489685,-2
2026-05-12,SMCI,Information Technology,14,10,0.13336259126663208,2024-05-15,499,2024-05-15,Existing top-decile constituent,2026-05-11,17,10,0.12900887429714203,3,2026-05-05,14,10,0.13336259126663208,0,2026-04-28,10,10,0.1375855803489685,-4
2026-05-12,TTD,Communication Services,15,10,0.13258406519889832,2024-06-24,48,2026-03-05,Existing top-decile constituent,2026-05-11,14,10,0.13258406519889832,-1,2026-05-05,43,10,0.06561852991580963,28,2026-04-28,15,10,0.13258406519889832,0
2026-05-12,PODD,Health Care,16,10,0.13039830327033997,2024-05-15,4,2026-05-07,New within 5 scoring dates,2026-05-11,15,10,0.13039830327033997,-1,2026-05-05,64,9,0.006528998725116253,48,2026-04-28,251,5,-0.21534599363803864,235
2026-05-12,NOW,Information Technology,17,10,0.1283610761165619,2024-07-25,14,2026-04-23,Existing top-decile constituent,2026-05-11,19,10,0.1283610761165619,2,2026-05-05,19,10,0.1283610761165619,2,2026-04-28,13,10,0.13336259126663208,-4
2026-05-12,ZTS,Health Care,18,10,0.12617531418800354,2026-05-07,4,2026-05-07,New within 5 scoring dates,2026-05-11,18,10,0.1283610761165619,0,2026-05-05,300,1,-0.22194881737232208,282,2026-04-28,302,1,-0.23396238684654236,284
2026-05-12,AXON,Industrials,19,10,0.12494632601737976,2024-05-16,46,2026-03-09,Existing top-decile constituent,2026-05-11,16,10,0.12908349931240082,-3,2026-05-05,20,10,0.12494632601737976,1,2026-04-28,12,10,0.1375855803489685,-7
2026-05-12,HOOD,Financials,20,10,0.12072332948446274,2024-05-15,499,2024-05-15,Existing top-decile constituent,2026-05-11,20,10,0.12072332948446274,0,2026-05-05,17,10,0.13060042262077332,-3,2026-04-28,14,10,0.13336259126663208,-6
2026-05-12,COIN,Financials,21,10,0.12072332948446274,2024-05-15,219,2025-06-30,Existing top-decile constituent,2026-05-11,21,10,0.12072332948446274,0,2026-05-05,21,10,0.12072332948446274,0,2026-04-28,21,10,0.12072332948446274,0
2026-05-12,TECH,Health Care,22,10,0.10561268776655197,2024-05-15,5,2026-05-06,New within 5 scoring dates,2026-05-11,22,10,0.10561268776655197,0,2026-05-05,80,9,-0.05715312063694,58,2026-04-28,84,9,-0.06916669011116028,62
2026-05-12,NCLH,Consumer Discretionary,23,10,0.10380267351865768,2024-05-15,57,2026-02-20,Existing top-decile constituent,2026-05-11,23,10,0.10380267351865768,0,2026-05-05,23,10,0.10380267351865768,0,2026-04-28,25,10,0.10880418866872787,2
2026-05-12,BF.B,Consumer Staples,24,10,0.10147550702095032,2025-02-13,3,2026-05-08,Existing top-decile constituent,2026-05-11,24,10,0.10147550702095032,0,2026-05-05,24,10,0.10147550702095032,0,2026-04-28,64,9,0.009876974858343601,40
2026-05-12,CCL,Consumer Discretionary,25,10,0.09957966953516006,2024-06-06,5,2026-05-06,New within 5 scoring dates,2026-05-11,26,10,0.09957966953516006,1,2026-05-05,53,9,0.04025186970829964,28,2026-04-28,58,9,0.027612609788775444,33
2026-05-12,NRG,Utilities,26,10,0.09758008271455765,2024-05-15,9,2026-04-30,Existing top-decile constituent,2026-05-11,27,10,0.09758008271455765,1,2026-05-05,36,10,0.08154671639204025,10,2026-04-28,59,9,0.022218920290470123,33
2026-05-12,FCX,Materials,27,10,0.0968175008893013,2024-05-17,14,2026-04-23,Existing top-decile constituent,2026-05-11,28,10,0.0968175008893013,1,2026-05-05,32,10,0.08694040030241013,5,2026-04-28,36,10,0.08694040030241013,9
2026-05-12,APP,Information Technology,28,10,0.09194191545248032,2024-05-15,441,2024-08-08,Existing top-decile constituent,2026-05-11,30,10,0.09194191545248032,2,2026-05-05,28,10,0.09194191545248032,0,2026-04-28,26,10,0.10458118468523026,-2
2026-05-12,LYB,Materials,29,10,0.09116340428590775,2025-07-24,9,2026-04-30,Existing top-decile constituent,2026-05-11,31,10,0.09116340428590775,2,2026-05-05,30,10,0.09116340428590775,1,2026-04-28,55,9,0.031835611909627914,26
2026-05-12,CF,Materials,30,10,0.09116340428590775,2026-04-16,8,2026-05-01,Existing top-decile constituent,2026-05-11,32,10,0.09116340428590775,2,2026-05-05,25,10,0.10104050487279892,-5,2026-04-28,51,10,0.04171270504593849,21
2026-05-12,AKAM,Information Technology,31,10,0.09000959247350693,2025-02-21,13,2026-04-24,Existing top-decile constituent,2026-05-11,29,10,0.09616491943597794,-2,2026-05-05,27,10,0.09616491943597794,-4,2026-04-28,29,10,0.0953005850315094,-2
2026-05-12,EL,Consumer Staples,32,10,0.08803065866231918,2024-05-15,67,2026-02-05,Existing top-decile constituent,2026-05-11,42,10,0.07279794663190842,10,2026-05-05,44,10,0.06429585814476013,12,2026-04-28,28,10,0.09764734655618668,-4
2026-05-12,DDOG,Information Technology,33,10,0.0857866033911705,2025-09-04,56,2026-02-23,Existing top-decile constituent,2026-05-11,33,10,0.0857866033911705,0,2026-05-05,29,10,0.09116340428590775,-4,2026-04-28,34,10,0.09116340428590775,1
2026-05-12,APA,Energy,34,10,0.08460540324449539,2024-09-17,4,2026-05-07,New within 5 scoring dates,2026-05-11,34,10,0.08460540324449539,0,2026-05-05,54,9,0.03566540405154228,20,2026-04-28,78,9,-0.04466567188501358,44
2026-05-12,FIX,Industrials,35,10,0.08343416452407837,2024-05-15,137,2025-10-24,Existing top-decile constituent,2026-05-11,35,10,0.08343416452407837,0,2026-05-05,33,10,0.08343416452407837,-2,2026-04-28,35,10,0.08962079137563705,0
2026-05-12,CRL,Health Care,36,10,0.08154671639204025,2024-08-13,43,2026-03-12,Existing top-decile constituent,2026-05-11,37,10,0.08154671639204025,1,2026-05-05,22,10,0.10683723539113998,-14,2026-04-28,31,10,0.09418598562479019,-5
2026-05-12,CNC,Health Care,37,10,0.08085282891988754,2024-10-17,45,2026-03-10,Existing top-decile constituent,2026-05-11,38,10,0.08085282891988754,1,2026-05-05,37,10,0.08085282891988754,0,2026-04-28,39,10,0.08085282891988754,2
2026-05-12,VRT,Industrials,38,10,0.07660099864006042,2024-05-15,154,2025-10-01,Existing top-decile constituent,2026-05-11,39,10,0.07660099864006042,1,2026-05-05,40,10,0.07660099864006042,2,2026-04-28,38,10,0.08343416452407837,0
2026-05-12,ALB,Materials,39,10,0.07660099864006042,2024-05-15,277,2025-04-04,Existing top-decile constituent,2026-05-11,36,10,0.08278761804103851,-3,2026-05-05,16,10,0.13172762095928192,-23,2026-04-28,17,10,0.13172762095928192,-22
2026-05-12,TPL,Energy,40,10,0.07391254603862762,2024-06-10,24,2026-04-09,Existing top-decile constituent,2026-05-11,43,10,0.06977536529302597,3,2026-05-05,31,10,0.09116340428590775,-9,2026-04-28,32,10,0.09116340428590775,-8
2026-05-12,AMD,Information Technology,41,10,0.07355707138776779,2024-05-15,5,2026-05-06,New within 5 scoring dates,2026-05-11,40,10,0.07355707138776779,-1,2026-05-05,76,9,-0.045257676392793655,35,2026-04-28,27,10,0.09882710129022598,-14
2026-05-12,MOS,Materials,42,10,0.07279794663190842,2024-11-04,9,2026-04-30,Existing top-decile constituent,2026-05-11,41,10,0.07279794663190842,-1,2026-05-05,34,10,0.08241463452577591,-8,2026-04-28,49,10,0.044474873691797256,7
2026-05-12,PSKY,Communication Services,43,10,0.06539029628038406,2024-05-15,113,2025-11-28,Existing top-decile constituent,2026-05-11,44,10,0.06539029628038406,1,2026-05-05,41,10,0.0759306401014328,-2,2026-04-28,41,10,0.0759306401014328,-2
2026-05-12,MRNA,Health Care,44,10,0.06144958734512329,2024-05-15,499,2024-05-15,Existing top-decile constituent,2026-05-11,45,10,0.06144958734512329,1,2026-05-05,48,10,0.05213314667344093,4,2026-04-28,46,10,0.05213314667344093,2
2026-05-12,GDDY,Information Technology,45,10,0.058794036507606506,2026-02-26,49,2026-03-04,Existing top-decile constituent,2026-05-11,48,10,0.058794036507606506,3,2026-05-05,45,10,0.058794036507606506,0,2026-04-28,43,10,0.058794036507606506,-2
2026-05-12,WDAY,Information Technology,46,10,0.058794036507606506,2024-08-07,14,2026-04-23,Existing top-decile constituent,2026-05-11,47,10,0.058794036507606506,1,2026-05-05,47,10,0.05451728776097298,1,2026-04-28,44,10,0.058794036507606506,-2
2026-05-12,DVA,Health Care,47,10,0.04641283303499222,2026-02-03,4,2026-05-07,New within 5 scoring dates,2026-05-11,50,10,0.04641283303499222,3,2026-05-05,316,1,-0.22194881737232208,269,2026-04-28,69,9,-0.009152531623840332,22
2026-05-12,DELL,Information Technology,48,10,0.04303456470370293,2024-05-15,2,2026-05-11,Existing top-decile constituent,2026-05-11,51,10,0.04303456470370293,3,2026-05-05,51,10,0.04303456470370293,3,2026-04-28,50,10,0.04303456470370293,2
2026-05-12,NEM,Materials,49,10,0.0393621027469635,2024-05-15,1,2026-05-12,New since prior scoring date,2026-05-11,52,9,0.0393621027469635,3,2026-05-05,49,10,0.04554871842265129,0,2026-04-28,53,9,0.03799707069993019,4
2026-05-12,GEV,Industrials,50,10,0.03566540405154228,2025-03-31,2,2026-05-11,Existing top-decile constituent,2026-05-11,49,10,0.04748816043138504,-1,2026-05-05,50,10,0.04369137063622475,0,2026-04-28,48,10,0.047388069331645966,-2
2026-05-12,EXPE,Consumer Discretionary,51,10,0.0355260856449604,2025-03-25,2,2026-05-11,New within 5 scoring dates,2026-05-11,25,10,0.10104050487279892,-26,2026-05-05,58,9,0.025648990646004677,7,2026-04-28,33,10,0.09116340428590775,-18
