model_decile,scoring_dates,avg_count,avg_model_score,avg_stock_return_14d,avg_daily_median_stock_return_14d,avg_excess_vs_spy_14d,avg_daily_median_excess_vs_spy_14d,avg_sector_neutral_return_14d_after_cost,avg_daily_median_sector_neutral_return_14d_after_cost,avg_daily_winsorized_sector_neutral_return_14d_after_cost,hit_rate_vs_spy,hit_rate_sector_neutral_after_cost,avg_top5_positive_contribution_share
10,60,50.75,0.12515485001107057,0.04793700687922749,0.0310122558975463,0.03525251284149448,0.018327761859813288,0.033360840555884695,0.02032083811089206,0.03153061943102039,0.5638627450980391,0.5739150326797386,0.4252922039643919
9,60,50.0,-0.04648046760509412,0.004300530286615171,-0.007072019561989479,-0.008383963751117838,-0.019756513599722487,-0.012176333491541116,-0.015874752034260444,-0.013948888728598978,0.42433333333333334,0.41933333333333334,0.580230082528784
8,60,50.0,-0.1802979126572609,-0.003342727070985265,-0.00815766971135491,-0.016027221108718275,-0.02084216374908792,-0.017030537811311197,-0.01905281381964424,-0.01802202724728398,0.419,0.42066666666666663,0.5366276976960346
7,60,50.0,-0.19517397359013558,0.000697096790467562,0.002098443194896352,-0.011987397247265448,-0.010586050842836658,-0.00846991430395238,-0.010080705392381154,-0.008120220060831063,0.45133333333333336,0.448,0.48943255484197346
6,60,50.0,-0.20458826373020808,0.01549226135316142,0.009271376636388485,0.002807767315428408,-0.0034131174013445277,0.003330758485604559,-0.0012459164349298793,0.002321521290224159,0.497,0.49933333333333335,0.47160035842569376
5,60,50.0,-0.22389707391460736,-0.006753839977682359,-0.009368931326743874,-0.019438334015415372,-0.022053425364476884,-0.007762249083454095,-0.008633605287302925,-0.008244719411165578,0.38233333333333336,0.434,0.5314913143122411
4,60,50.0,-0.23389195029934248,-0.004307376975118061,-0.0007770104108964328,-0.016991871012851077,-0.013461504448629443,-0.006908969941935775,-0.005957504569296986,-0.00686519425231277,0.397,0.44466666666666665,0.517953862258418
3,60,50.0,-0.23396238684654236,0.00040713145662823205,0.00039858032944215807,-0.01227736258110478,-0.012285913708290852,-0.004913835668441998,-0.006443924698118117,-0.006175668125297371,0.41466666666666663,0.448,0.5358392535649751
2,60,50.0,-0.23396238684654236,-0.007813464416034964,-0.00492981725471115,-0.020497958453767975,-0.017614311292444163,-0.010172534068339286,-0.00799832188313647,-0.01037701763843541,0.3763333333333333,0.4096666666666667,0.5610748581157718
1,60,51.0,-0.23396237194538116,-0.002249162743356491,0.0017843957848764894,-0.014933656781089504,-0.010900098252856521,-0.00603719229191146,-0.0037111317694730845,-0.005893243583444739,0.4166666666666667,0.4696078431372549,0.4932365289864532
