offset,periods,start_date,end_date,avg_top_sector_neutral_return_14d_after_cost,median_top_sector_neutral_return_14d_after_cost,avg_top_minus_bottom_sector_neutral_14d,positive_spread_rate,max_drawdown_top_return_approx
0,5,2026-01-26,2026-04-16,0.03258937305981312,0.04003809416046258,0.04089528090887695,1.0,0.0
1,5,2026-01-27,2026-04-17,0.03468912887025892,0.02051382439691558,0.040745471113426426,0.8,-0.001117
2,5,2026-01-28,2026-04-20,0.032579322993461945,0.016993730668017158,0.03963411826989581,0.8,-0.000582
3,5,2026-01-29,2026-04-21,0.03744932930636069,0.03503939200508868,0.04242650668122037,1.0,0.0
4,4,2026-01-30,2026-04-01,0.028085974736596166,0.020648272643427314,0.03385366269937697,1.0,0.0
5,4,2026-02-02,2026-04-02,0.034258310966711523,0.027736500037870405,0.03716597683169667,1.0,0.0
6,4,2026-02-03,2026-04-06,0.03290019882442214,0.03383148853626896,0.03873788342952398,1.0,0.0
7,4,2026-02-04,2026-04-07,0.02971416388912479,0.02179942947978961,0.03451256675708601,1.0,0.0
8,4,2026-02-05,2026-04-08,0.027916153944027904,0.026459908221474097,0.03557284077158751,0.75,-0.000213
9,4,2026-02-06,2026-04-09,0.026502630894412606,0.03196265853183631,0.03250014924360864,0.75,-0.000664
10,4,2026-02-09,2026-04-10,0.02878645088527216,0.02976524371942811,0.03370245339606483,1.0,0.0
11,4,2026-02-10,2026-04-13,0.03663098596577453,0.04356179888190873,0.04271039079387206,1.0,0.0
12,4,2026-02-11,2026-04-14,0.04230784425085837,0.04698606894022596,0.04709324738376928,1.0,0.0
13,4,2026-02-12,2026-04-15,0.041675951193701884,0.041261139200807616,0.05049460019358193,1.0,0.0
