feature,description,meanAbsShap,meanShap,positiveShare,p05Shap,p50Shap,p95Shap
volatility_60d_minus_sector_median,60-day volatility compared with the stock's sector median,0.185760959982872,-0.14117151498794556,0.16299123439096042,-0.21467630565166473,-0.19312387704849243,0.1499568372964859
volatility_60d_pct_rank,60-day volatility rank across the current stock universe,0.047398779541254044,-0.033743299543857574,0.19160813689236592,-0.06408249586820602,-0.040747255086898804,0.039226364344358444
downside_volatility_20d_pct_rank,20-day downside-volatility rank across the current stock universe,0.04644938185811043,-0.030869942158460617,0.25446396756645473,-0.06679100543260574,-0.052538104355335236,0.03835766762495041
amihud_20d_pct_rank,20-day illiquidity rank across the current stock universe,0.026929311454296112,-0.01214162539690733,0.1985366896562646,-0.03924572467803955,-0.02184581197798252,0.03492046520113945
distance_to_52w_low_pct_rank,ranked distance from each stock's 52-week low,0.018483879044651985,-0.015368005260825157,0.017950890418009485,-0.036856912076473236,-0.014645703136920929,-0.01108473725616932
downside_volatility_60d_sector_pct_rank,60-day downside-volatility rank within the stock's sector,0.017335927113890648,-0.015695402398705482,0.07893007308633372,-0.039535537362098694,-0.01439494639635086,0.010544917546212673
breadth_ret_60d_median,median 60-day return across the S&P 500 universe,0.012568634934723377,0.002840013476088643,0.9469866734236553,-0.0007569253793917596,0.009375403635203838,0.010938086546957493
sma_50_vs_200,50-day moving average compared with the 200-day moving average,0.012471725232899189,-0.0076478347182273865,0.04823856392876656,-0.01497994177043438,-0.010167224332690239,-0.0027514686807990074
rel_momentum_252d_vs_sector_etf,12-month skip-window momentum versus the sector ETF,0.012040534056723118,-0.0051627010107040405,0.31498388616585765,-0.0182290431112051,-0.0112750930711627,0.0190228670835495
idiosyncratic_ret_60d,60-day stock return after adjusting for estimated SPY beta,0.008897116407752037,-0.0070624519139528275,0.027619190903404096,-0.014939116314053535,-0.00682529853656888,-0.003388222074136138
breadth_volatility_20d_median,median 20-day volatility across the S&P 500 universe,0.008592321537435055,0.001502391416579485,0.3790433054343609,-0.007058646995574236,-0.005465600173920393,0.016019506379961967
sma_20_vs_50,20-day moving average compared with the 50-day moving average,0.008281359449028969,-0.0020383531227707863,0.5876996412989255,-0.022736066952347755,0.003547484055161476,0.010910145938396454
momentum_252d_skip_20_sector_pct_rank,12-month skip-window momentum rank within the stock's sector,0.008230341598391533,-0.006239369045943022,0.03232268843683931,-0.014113832265138626,-0.007419269066303968,-0.004131870809942484
downside_volatility_60d_pct_rank,60-day downside-volatility rank across the current stock universe,0.008170992136001587,-0.006581852678209543,0.09883679497026661,-0.013628057204186916,-0.00716102309525013,0.008150189183652401
spy_volatility_20d,20-day SPY volatility backdrop,0.007959255017340183,-0.0011340873315930367,0.13786632248255984,-0.008129660971462727,-0.0049260868690907955,0.0439288392663002
